City,Lat,Lng,Max Temp,Humidity,Cloud Cover,Wind Speed,Country
Kuala Terengganu,5.3302,103.1408,78.75,94,20,5.99,MY
Yellowknife,62.456,-114.3525,57.72,77,20,3.44,CA
Buraidah,26.326,43.975,109.85,9,92,4.47,SA
Yangi Marg`ilon,40.4272,71.7189,99.32,23,1,4.61,UZ
Vaini,-21.2,-175.2,73.56,88,75,12.66,TO
Faanui,-16.4833,-151.75,76.66,75,99,2.42,PF
Tiksi,71.6872,128.8694,50.22,89,45,2.68,RU
Punta Arenas,-53.15,-70.9167,33.82,86,75,8.05,CL
New Norfolk,-42.7826,147.0587,47.91,85,100,3.04,AU
Sitka,57.0531,-135.33,57.09,94,100,3.44,US
Ahipara,-35.1667,173.1667,55.56,81,99,18.41,NZ
Zhigansk,66.7697,123.3711,64.13,70,8,3.09,RU
Bengkulu,-3.8004,102.2655,77.13,86,99,3.15,ID
Robāţ Karīm,35.4846,51.0829,98.46,18,0,6.91,IR
George Town,5.4112,100.3354,84.88,86,20,3.44,MY
Znamensk,48.5842,45.7338,83.66,33,100,12.68,RU
Busselton,-33.65,115.3333,51.08,75,30,7.83,AU
Ikalamavony,-21.15,46.5833,67.96,51,9,3.83,MG
Rikitea,-23.1203,-134.9692,74.8,74,100,13.18,PF
San Isidro,-12.1167,-77.05,60.39,82,100,9.22,PE
Mgandu,-5.95,34.1333,75.69,32,98,8.43,TZ
East London,-33.0153,27.9116,68.94,56,0,10.36,ZA
Lavrentiya,65.5833,-171.0,38.03,86,97,16.26,RU
Lebu,-37.6167,-73.65,53.56,82,15,18.39,CL
Necochea,-38.5473,-58.7368,56.75,93,100,4.81,AR
Ankara,39.9199,32.8543,87.19,26,0,16.11,TR
Dehlorān,32.6941,47.2679,106.7,6,2,21.27,IR
Mataura,-46.1927,168.8643,44.47,97,100,8.08,NZ
Tuatapere,-46.1333,167.6833,44.4,95,100,9.93,NZ
Ushuaia,-54.8,-68.3,37.02,64,20,8.05,AR
Albany,42.6001,-73.9662,73.78,60,78,5.08,US
Isangel,-19.55,169.2667,73.06,89,80,14.79,VU
San Buenaventura,27.0833,-101.5333,83.48,61,40,0.0,MX
Am Timan,11.0297,20.2827,79.29,71,100,4.99,TD
Clyde River,70.4692,-68.5914,43.03,87,40,9.22,CA
Erbil,36.1926,44.0106,105.62,5,0,6.91,IQ
Hilo,19.7297,-155.09,75.27,94,100,6.91,US
Campeche,19.0,-90.5,86.2,57,11,4.14,MX
Malakal,9.5334,31.6605,85.37,59,98,6.51,SS
Brigantine,39.4101,-74.3646,78.03,75,0,4.61,US
Anadyr,64.75,177.4833,46.9,87,40,6.71,RU
Qaanaaq,77.484,-69.3632,42.6,61,2,1.39,GL
Puerto Ayora,-0.7393,-90.3518,71.56,98,100,5.01,EC
Pontes e Lacerda,-15.2261,-59.3353,94.44,21,17,4.07,BR
Hermanus,-34.4187,19.2345,63.81,74,68,6.15,ZA
Sambava,-14.2667,50.1667,71.37,76,30,11.61,MG
Nanortalik,60.1432,-45.2371,45.3,88,88,6.46,GL
